UniqueReferenceNumber(URN) ,IncidentDate,IncidentCategory,ProductType,ProductOriginCountry ,NotifierType
ICID00035597,2019-10-01,Allergens,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB) ,Local Authority
ICID00035598,2019-10-01,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs)
ICID00035599,2019-10-01,Heavy Metals,Fruits & Vegetables,Germany (DE),EU Member States
ICID00035600,2019-10-01,Novel Food,Fruits & Vegetables,Germany (DE),Local Authority
ICID00035601,2019-10-01,Pathogenic Micro-Organisms,Cereals & Bakery Products,United Kingdom (GB),Local Authority
ICID00035603,2019-10-01,Heavy Metals,Alcoholic Beverages,United Kingdom (GB),Local Authority
ICID00035604,2019-10-01,Food Additives & Flavourings,Prepared Dishes & Snacks,United Kingdom (GB) ,Local Authority
ICID00035605,2019-10-02,CHEMET,N/A,United Kingdom (GB),Met Office
ICID00035606,2019-10-02,Allergens,Ices & Desserts,Germany (DE),RASFF
ICID00035607,2019-10-02,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),United Kingdom (GB) ,FSA Operations Group
ICID00035608,2019-10-02,Allergens,Prepared Dishes & Snacks,United Kingdom (GB) ,Local Authority
ICID00035609,2019-10-02,Mycotoxins,Nuts / Nut Products / Seeds,United States (US),Border Inspection Posts (BIPs)
ICID00035610,2019-10-03,Heavy Metals,Fruits & Vegetables,China (CX),European Commission (EC)
ICID00035611,2019-10-03,Clandestine Detection,Meat & Meat Products (other than poultry),Poland (PL) ,Police
ICID00035612,2019-10-03,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry) ,United Kingdom (GB),Local Authority
ICID00035613,2019-10-03,Pathogenic Micro-Organisms,Fruits & Vegetables,France (FR),Animal & Plant Health Agency (APHA)
ICID00035614,2019-10-03,Clandestine Detection,Fruits & Vegetables,United Kingdom (GB) ,Home Office / Border Force
ICID00035615,2019-10-03,Allergens,Soups / Broths / Sauces & Condiments,United Kingdom (GB) ,Local Authority
ICID00035616,2019-10-04,Clandestine Detection,Fruits & Vegetables,United Kingdom (GB) ,Police
ICID00035617,2019-10-04,Clandestine Detection,Fruits & Vegetables,Spain (ES),Home Office / Border Force
ICID00035618,2019-10-04,Pathogenic Micro-Organisms,Soups / Broths / Sauces & Condiments,United Kingdom (GB) ,Local Authority
ICID00035619,2019-10-04,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,United Kingdom (GB) ,EU Member States
