UniqueReferenceNumber(URN) ,IncidentDate,IncidentCategory,ProductType,ProductOriginCountry ,NotifierType
ICID00035841,2019-11-01,CHEMET,N/A,United Kingdom (GB),Met Office
ICID00035842,2019-11-01,Clandestine Detection,Other Food Product / Mixed,Belgium (BE),Home Office / Border Force
ICID00035845,2019-11-01,Allergens,Cocoa / Cocoa Preparations / Coffee / Tea,Germany (DE),Local Authority
ICID00035847,2019-11-01,CHEMET,N/A,United Kingdom (GB),Met Office
ICID00035848,2019-11-01,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),Brazil (BR),Border Inspection Posts (BIPs)
ICID00035850,2019-11-01,CHEMET,N/A,United Kingdom (GB),Environment Agency (EA)
ICID00035851,2019-11-01,CHEMET,N/A,United Kingdom (GB),Environment Agency (EA)
ICID00035852,2019-11-04,Allergens,Meat & Meat Products (other than poultry),United Kingdom (GB),Industry
ICID00035853,2019-11-04,Pathogenic Micro-Organisms,Fruits & Vegetables,China (CX),RASFF
ICID00035854,2019-11-04,Foreign Bodies,Confectionery,United Kingdom (GB),Industry
ICID00035855,2019-11-04,Pathogenic Micro-Organisms,Fruits & Vegetables,India (IN),Local Authority
ICID00035856,2019-11-04,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF
ICID00035857,2019-11-04,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Poland (PL),RASFF
ICID00035858,2019-11-01,Mycotoxins,Nuts / Nut Products / Seeds,United States (US),Border Inspection Posts (BIPs)
ICID00035859,2019-11-04,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),United Kingdom (GB),FSA Field Operations - FVL
ICID00035860,2019-11-04,Allergens,Meat & Meat Products (other than poultry),United Kingdom (GB),Industry
ICID00035861,2019-11-04,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00035862,2019-11-04,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF
ICID00035863,2019-11-05,Residues of Veterinary Medicinal Products,Milk & Milk Products,United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00035864,2019-11-05,Food Additives & Flavourings,Pet Food,United Kingdom (GB),Industry
ICID00035865,2019-11-05,Non-Pathogenic Micro-Organisims,N/A,United Kingdom (GB),Other
ICID00035867,2019-11-05,Composition,Alcoholic Beverages,United Kingdom (GB),Food Standards Scotland (FSS)
ICID00035869,2019-11-05,Clandestine Detection,Milk & Milk Products,France (FR),Home Office / Border Force
ICID00035870,2019-11-05,Allergens,Confectionery,Belgium (BE),RASFF
ICID00035871,2019-11-05,Allergens,Confectionery,Belgium (BE),General Public
ICID00035872,2019-11-04,Pesticide Residues,Fruits & Vegetables,Turkey (TR),Border Inspection Posts (BIPs)
ICID00035873,2019-11-04,Pesticide Residues,Fruits & Vegetables,Kenya (KE),Border Inspection Posts (BIPs)
ICID00035874,2019-11-05,Allergens,Prepared Dishes & Snacks,United Kingdom (GB),Local Authority
ICID00035875,2019-11-06,CHEMET,N/A,United Kingdom (GB),Environment Agency (EA)
ICID00035876,2019-11-06,Allergens,Cereals & Bakery Products,United Kingdom (GB),Industry
ICID00035877,2019-11-06,Heavy Metals,Crustaceans & Products Thereof,United Kingdom (GB),Third Country
ICID00035878,2019-11-06,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),EU Member States
ICID00035879,2019-11-06,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),EU Member States
ICID00035880,2019-11-06,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),EU Member States
ICID00035881,2019-11-07,Mycotoxins,Fruits & Vegetables,Turkey (TR),Border Inspection Posts (BIPs)
ICID00035882,2019-11-07,Clandestine Detection,Fruits & Vegetables,France (FR),Home Office / Border Force
ICID00035883,2019-11-07,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Poland (PL),RASFF
ICID00035884,2019-11-08,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),France (FR),Industry
ICID00035885,2019-11-08,Clandestine Detection,Fruits & Vegetables,Spain (ES),Home Office / Border Force
ICID00035886,2019-11-08,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods ,United States (US),Local Authority
ICID00035887,2019-11-07,Mycotoxins,Nuts / Nut Products / Seeds,Argentina (AR),Port Health Authority (PHA)
ICID00035888,2019-11-08,Packaging Defective / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),Administrative Assistance & Cooperation System (AAC)
ICID00035889,2019-11-08,Pesticide Residues,Cereals & Bakery Products,Ireland (IE),Department of Agriculture & Rural Development (DARD)
ICID00035890,2019-11-08,Pathogenic Micro-Organisms,Pet Food,United Kingdom (GB),Local Authority
ICID00035891,2019-11-08,Packaging Defective / Incorrect,Other Food Product / Mixed,Ghana (GH),Border Inspection Posts (BIPs)
ICID00035892,2019-11-08,Labelling Absent / Incomplete / Incorrect,Alcoholic Beverages,Belgium (BE),RASFF
ICID00035893,2019-11-08,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),RASFF
ICID00035894,2019-11-08,Foreign Bodies,Non-alcoholic Beverages,Belgium (BE),Local Authority
ICID00035895,2019-11-08,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods ,United Kingdom (GB),Administrative Assistance & Cooperation System (AAC)
ICID00035896,2019-11-07,Mycotoxins,Nuts / Nut Products / Seeds,Ghana (GH),Border Inspection Posts (BIPs)
ICID00035897,2019-11-08,Allergens,Cereals & Bakery Products,United Kingdom (GB),FSA Northern Ireland (FSANI)
