UniqueReferenceNumber(URN) ,IncidentDate,IncidentCategory,ProductType,ProductOriginCountry ,NotifierType
ICID00031518,2018-04-20,Allergens,Ices & Desserts,United Kingdom (GB),Industry
ICID00031950,2018-04-02,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00031951,2018-04-02,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00031952,2018-04-03,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),United Kingdom (GB),General Public
ICID00031953,2018-04-03,Allergens,Fats & Oils,United Kingdom (GB),Local Authority
ICID00031954,2018-04-03,Allergens,Fats & Oils,United Kingdom (GB),Local Authority
ICID00031955,2018-04-03,Allergens,Cereals & Bakery Products,United Kingdom (GB),Local Authority
ICID00031956,2018-04-03,Pathogenic Micro-Organisms,Feed Materials,United Kingdom (GB),RASFF
ICID00031957,2018-04-03,Heavy Metals,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),RASFF
ICID00031959,2018-04-02,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Chile (CL),Border Inspection Posts (BIPs)
ICID00031961,2018-04-03,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),France (FR),FSA Operations Group
ICID00031963,2018-04-04,Allergens,Ices & Desserts,United States (US),Industry
ICID00031964,2018-04-04,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00031965,2018-04-04,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Chile (CL),RASFF
ICID00031966,2018-04-04,Chemical Contamination (other),Water,United Kingdom (GB),Environment Agency (EA)
ICID00031967,2018-04-04,Allergens,Cereals & Bakery Products,United Kingdom (GB),Local Authority
ICID00031968,2018-04-04,Poor or Insufficient Controls,Herbs & Spices,India (IN),Border Inspection Posts (BIPs)
ICID00031969,2018-04-05,Foreign Bodies,Alcoholic Beverages,Belgium (BE),RASFF
ICID00031970,2018-04-05,Allergens,Other Food Product / Mixed,Poland (PL),EU Member States
ICID00031971,2018-04-05,Chemical Contamination (other),Cereals & Bakery Products,United Kingdom (GB),EU Member States
ICID00031972,2018-04-05,Chemical Contamination (other),Dietetic Foods / Food Supplements / Fortified Foods,United States (US),General Public
ICID00031973,2018-04-05,Novel Food,Cocoa / Cocoa Preparations / Coffee / Tea,United Kingdom (GB),Administrative Assistance & Cooperation System (AAC)
ICID00031974,2018-04-05,Pathogenic Micro-Organisms,Bivalve Molluscs & Products Thereof,United Kingdom (GB),Local Authority
ICID00031975,2018-04-05,Pathogenic Micro-Organisms,Fruits & Vegetables,Philippines (PH),Third Country
ICID00031976,2018-04-05,Food Additives & Flavourings,Fish & Fish Products,South Korea (KR),Border Inspection Posts (BIPs)
ICID00031977,2018-04-05,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Border Inspection Posts (BIPs)
ICID00031978,2018-04-05,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00031979,2018-04-05,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00031980,2018-04-06,Mycotoxins,Cereals & Bakery Products,United Kingdom (GB),Medicine & Healthcare products Regulatory Agency (MHRA)
ICID00031981,2018-04-05,Pathogenic Micro-Organisms,Milk & Milk Products,Romania (RO),Local Authority
ICID00031982,2018-04-07,Clandestine Detection,Cereals & Bakery Products,Greece (GR),Home Office / Border Force
ICID00031983,2018-04-07,Clandestine Detection,Fruits & Vegetables,Italy (IT),Home Office / Border Force
ICID00031984,2018-04-07,Clandestine Detection,Nuts / Nut Products / Seeds,France (FR),Home Office / Border Force
ICID00031985,2018-04-09,Clandestine Detection,Confectionery,United Kingdom (GB),Home Office / Border Force
ICID00031986,2018-04-07,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00031987,2018-04-09,Allergens,Confectionery,United Kingdom (GB),General Public
ICID00031988,2018-04-09,Poor or Insufficient Controls,Food Additives & Flavourings,India (IN),Port Health Authority (PHA)
ICID00031989,2018-04-09,Pathogenic Micro-Organisms,N/A,United Kingdom (GB),Environment Agency (EA)
ICID00031990,2018-04-10,Allergens,Soups / Broths / Sauces & Condiments,Egypt (EG),Local Authority
ICID00031991,2018-04-10,Labelling Absent / Incomplete / Incorrect,Prepared Dishes & Snacks,United Kingdom (GB),Industry
ICID00031992,2018-04-09,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
