UniqueReferenceNumber(URN) ,IncidentDate,IncidentCategory,ProductType,ProductOriginCountry ,NotifierType
ICID00033907,2019-02-01,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),RASFF
ICID00033908,2019-02-01,Chemical Contamination (other),Nuts / Nut Products / Seeds,Turkey (TR),Border Inspection Posts (BIPs)
ICID00033909,2019-02-01,Composition,Pet Food,United Kingdom (GB),Industry
ICID00033910,2019-02-01,Allergens,Prepared Dishes & Snacks,United Kingdom (GB),Industry
ICID00033911,2019-02-01,Pathogenic Micro-Organisms,Milk & Milk Products,United Kingdom (GB),Animal & Plant Health Agency (APHA)
ICID00033913,2019-02-01,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Border Inspection Posts (BIPs)
ICID00033914,2019-02-01,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Border Inspection Posts (BIPs)
ICID00033915,2019-02-02,CHEMET,N/A,United Kingdom (GB),Met Office
ICID00033916,2019-02-02,Clandestine Detection,Cereals & Bakery Products,United Kingdom (GB),Home Office / Border Force
ICID00033920,2019-02-02,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Border Inspection Posts (BIPs)
ICID00033918,2019-02-04,Composition,Feed Materials,China (CX),Local Authority
ICID00033919,2019-02-04,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00033921,2019-02-04,Allergens,Milk & Milk Products,Netherlands (NL),EU Member States
ICID00033922,2019-02-04,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Border Inspection Posts (BIPs)
ICID00033923,2019-02-04,Allergens,Cereals & Bakery Products,United Kingdom (GB),Local Authority
ICID00033924,2019-02-04,Allergens,Cereals & Bakery Products,United Kingdom (GB),Local Authority
ICID00033925,2019-02-04,Allergens,Confectionery,Islamic Republic of Iran (IR),Local Authority
ICID00033927,2019-02-04,Pathogenic Micro-Organisms,Milk & Milk Products,Spain (ES),RASFF
ICID00033928,2019-02-04,Migration,Food Contact Materials,China (CX),Border Inspection Posts (BIPs)
ICID00033929,2019-02-04,Chemical Contamination (other),Herbs & Spices,Denmark (DK),RASFF
ICID00033930,2019-02-04,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),RASFF
ICID00033931,2019-02-04,Clandestine Detection,Fruits & Vegetables,Spain (ES),Home Office / Border Force
ICID00033932,2019-02-04,Poor or Insufficient Controls,Prepared Dishes & Snacks,United Kingdom (GB),General Public
