UniqueReferenceNumber(URN) ,IncidentDate,IncidentCategory,ProductType,ProductOriginCountry,NotifierType
ICID00031538,2018-02-01,Clandestine Detection,Cereal & Bakery Products,Belgium (BE),Police
ICID00031539,2018-02-01,Labelling Absent / Incomplete / Incorrect,Food Additives & Flavourings,United Kingdom (GB),EU Member States
ICID00031540,2018-02-01,Labelling Absent / Incomplete / Incorrect,Food Additives & Flavourings,United Kingdom (GB),Administrative Assistance and Cooperation System (AAC) 
ICID00031541,2018-02-01,Pathogenic Micro-Organisms,Pet Food,Germany (DE),RASFF
ICID00031542,2018-02-01,Allergens,Prepared Dishes & Snacks,Belgium (BE),RASFF
ICID00031543,2018-02-01,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,Netherlands (NL),Local Authority
ICID00031544,2018-02-02,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs)
ICID00031545,2018-02-02,Pathogenic Micro-Organisms,Soups / Broths / Sauces & Condiments,Bangladesh (BD),Border Inspection Posts (BIPs)
ICID00031546,2018-02-02,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),RASFF
ICID00031547,2018-02-05,Labelling Absent / Incomplete / Incorrect,Cereal & Bakery Products,United Kingdom (GB),Industry
ICID00031548,2018-02-05,Allergens,Other Food Product / Mixed,United Kingdom (GB),Local Authority
ICID00031549,2018-02-05,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),Local Authority
ICID00031550,2018-02-05,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Border Inspection Posts (BIPs)
ICID00031551,2018-02-01,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Thailand (TH),RASFF
ICID00031552,2018-02-02,Pesticide Residues,Fats and Oils,Argentina (AR),Industry
ICID00031553,2018-02-05,Foreign Bodies,Poultry Meat & Poultry Meat Products,Poland (PL),Local Authority
ICID00031554,2018-02-05,Pesticide Residues,Fruits & Vegetables,India (IN),Border Inspection Posts (BIPs)
ICID00031555,2018-02-05,Composition,Dietetic Foods / Food Supplements / Fortified Foods,Netherlands (NL),RASFF
ICID00031556,2018-02-06,Composition,Dietetic Foods / Food Supplements / Fortified Foods,Spain (ES),RASFF
ICID00031557,2018-02-06,Allergens,Fats and Oils,Spain (ES),Industry
ICID00031558,2018-02-06,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs)
ICID00031559,2018-02-06,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
