UniqueReferenceNumber(URN) ,IncidentDate,IncidentCategory,ProductType,ProductOriginCountry ,NotifierType
ICID00034736,2019-06-01,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00034737,2019-06-01,Pathogenic Micro-Organisms,Milk & Milk Products Dairy Products,United Kingdom (GB),Industry
ICID00034738,2019-06-02,Adulteration / Fraud,Prepared Dishes & Snacks,United Kingdom (GB),Local Authority
ICID00034739,2019-06-03,Food Additives & Flavourings,Fats & Oils,Ghana (GH),EU Member States
ICID00034740,2019-06-03,Chemical Contamination (other),Meat & Meat Products (other than poultry),United Kingdom (GB),Animal & Plant Health Agency (APHA)
ICID00034741,2019-06-03,Allergens,Fruits & Vegetables,United Kingdom (GB),Local Authority
ICID00034743,2019-06-03,Pathogenic Micro-Organisms,Fruits & Vegetables,Malaysia (MY),Port Health Authority (PHA)
ICID00034744,2019-06-03,Pathogenic Micro-Organisms,Fruits & Vegetables,Malaysia (MY),Port Health Authority (PHA)
ICID00034745,2019-06-03,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00034746,2019-06-03,Pathogenic Micro-Organisms,Fruits & Vegetables,Malaysia (MY),Port Health Authority (PHA)
ICID00034747,2019-06-03,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00034748,2019-06-03,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00034749,2019-06-03,Pathogenic Micro-Organisms,Pet Food,United Kingdom (GB),RASFF
ICID00034750,2019-06-03,CHEMET,N/A,United Kingdom (GB),Environment Agency (EA)
ICID00034751,2019-06-04,Pathogenic Micro-Organisms,Fruits & Vegetables,Malaysia (MY),Border Inspection Posts (BIPs)
ICID00034752,2019-06-04,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),United Kingdom (GB),Local Authority
ICID00034753,2019-06-04,Mycotoxins,Nuts / Nut Products / Seeds,Nigeria (NG),Border Inspection Posts (BIPs)
ICID00034754,2019-06-04,Allergens,Meat & Meat Products (other than poultry),United Kingdom (GB),Local Authority
ICID00034756,2019-06-04,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Brazil (BR),Border Inspection Posts (BIPs)
ICID00034757,2019-06-04,Packaging Defective / Incorrect,Meat & Meat Products (other than poultry),China (CX),Border Inspection Posts (BIPs)
ICID00034758,2019-06-04,Labelling Absent / Incomplete / Incorrect,Cereals & Bakery Products,Nigeria (NG),Border Inspection Posts (BIPs)
ICID00034759,2019-06-04,Labelling Absent / Incomplete / Incorrect,Food Additives & Flavourings,United Kingdom (GB),Administrative Assistance & Cooperation System (AAC)
ICID00034760,2019-06-04,CHEMET,N/A,United Kingdom (GB),Marine Management Organisation (MMO)
