UniqueReferenceNumber(URN) ,IncidentDate,IncidentCategory,ProductType,ProductOriginCountry ,NotifierType
ICID00032925,2018-09-02,CHEMET,N/A,United Kingdom (GB),Met Office
ICID00032926,2018-09-03,Pathogenic Micro-Organisms,Nuts / Nut Products / Seeds,Italy (IT),Industry
ICID00032927,2018-09-03,Pathogenic Micro-Organisms,Feed Materials,United Kingdom (GB),Animal & Plant Health Agency (APHA)
ICID00032928,2018-09-03,Allergens,Cereals & Bakery Products,Denmark (DK),RASFF
ICID00032929,2018-09-03,Mycotoxins,Nuts / Nut Products / Seeds,Turkey (TR),Industry
ICID00032930,2018-09-03,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00032931,2018-09-03,Poor or Insufficient Controls,Non-Alcoholic Beverages,United Kingdom (GB),National Food Crime Unit (NFCU)
ICID00032932,2018-09-03,Labelling Absent / Incomplete / Incorrect,Feed Materials,United Kingdom (GB),Administrative Assistance & Cooperation System (AAC)
ICID00032933,2018-09-04,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,United Kingdom (GB),Public Health England (PHE)
ICID00032935,2018-09-04,Pathogenic Micro-Organisms,Other Food Product / Mixed,United Kingdom (GB),Local Authority
ICID00032936,2018-09-04,Pathogenic Micro-Organisms,Food Contact Materials,China (CX),Administrative Assistance & Cooperation System (AAC)
ICID00032937,2018-09-04,Clandestine Detection,Milk & Milk Products,Poland (PL),Home Office / Border Force
ICID00032938,2018-09-03,Labelling Absent / Incomplete / Incorrect,Feed Materials,United Kingdom (GB),EU Member States
ICID00032939,2018-09-05,Clandestine Detection,Fruits & Vegetables,Turkey (TR),EU Member States
ICID00032940,2018-09-05,Mycotoxins,Nuts / Nut Products / Seeds,Netherlands (NL),Industry
ICID00032941,2018-09-05,Labelling Absent / Incomplete / Incorrect,Fish & Fish Products,United Kingdom (GB),Administrative Assistance & Cooperation System (AAC)
ICID00032942,2018-09-05,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),RASFF
