UniqueReferenceNumber(URN) ,IncidentDate,IncidentCategory,ProductType,ProductOriginCountry ,NotifierType
ICID00033721,2019-01-01,CHEMET,N/A,United Kingdom (GB),Met Office
ICID00033719,2019-01-02,Labelling Absent / Incomplete / Incorrect,Other Food Product / Mixed,United Kingdom (GB),Industry
ICID00033722,2019-01-02,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Border Inspection Posts (BIPs)
ICID00033723,2019-01-02,Pesticide Residues,Other Food Product / Mixed,Turkey (TR),Public Health England (PHE)
ICID00033724,2019-01-02,Allergens,Prepared Dishes & Snacks,United Kingdom (GB),Industry
ICID00033725,2019-01-02,Labelling Absent / Incomplete / Incorrect,Meat & Meat Products (other than poultry),United Kingdom (GB),General Public
ICID00033726,2019-01-02,CHEMET,N/A,United Kingdom (GB),Met Office
ICID00033728,2019-01-02,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Border Inspection Posts (BIPs)
ICID00033727,2019-01-03,Labelling Absent / Incomplete / Incorrect,Other Food Product / Mixed,Italy (IT),RASFF
ICID00033729,2019-01-03,Pesticide Residues,Herbs & Spices,India (IN),Border Inspection Posts (BIPs)
ICID00033730,2019-01-03,Labelling Absent / Incomplete / Incorrect,Feed Materials,United Kingdom (GB),Administrative Assistance & Cooperation System (AAC)
ICID00033731,2019-01-03,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Border Inspection Posts (BIPs)
ICID00033507,2019-01-04,Pesticide Residues,Fruits & Vegetables,South Africa (ZA),Border Inspection Posts (BIPs)
ICID00033732,2019-01-04,Composition,Nuts / Nut Products / Seeds,United Kingdom (GB),EU Member States
ICID00033733,2019-01-04,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),EU Member States
ICID00033734,2019-01-04,Labelling Absent / Incomplete / Incorrect,Meat & Meat Products (other than poultry),United Kingdom (GB),National Food Crime Unit (NFCU)
ICID00033735,2019-01-04,Allergens,Confectionery,Germany (DE),Industry
ICID00033744,2019-01-04,Industrial Contaminants,N/A,United Kingdom (GB),Public Health England (PHE)
ICID00034072,2019-01-04,Allergens,Cereals & Bakery Products,United Kingdom (GB),Food Standards Scotland (FSS)
ICID00033736,2019-01-05,Pesticide Residues,Herbs & Spices,Pakistan (PK),Border Inspection Posts (BIPs)
ICID00033737,2019-01-05,Pesticide Residues,Herbs & Spices,Pakistan (PK),Border Inspection Posts (BIPs)
ICID00033738,2019-01-06,Pesticide Residues,Herbs & Spices,Pakistan (PK),Border Inspection Posts (BIPs)
ICID00033739,2019-01-06,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00033740,2019-01-06,Allergens,Ices & Desserts,United Kingdom (GB),Local Authority
