UniqueReferenceNumber(URN) ,IncidentDate,IncidentCategory,ProductType,ProductOriginCountry ,NotifierType
ICID00036084,2019-12-01,Foreign Bodies,Poultry Meat & Poultry Meat Products,United Kingdom (GB),General Public
ICID00036085,2019-12-01,Clandestine Detection,Fruits & Vegetables,Spain (ES),Home Office / Border Force
ICID00036086,2019-12-01,Pesticide Residues,Fruits & Vegetables,India (IN),Border Inspection Posts (BIPs)
ICID00036087,2019-12-02,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00036089,2019-12-02,Poor or Insufficient Controls,N/A,United Kingdom (GB),Local Authority
ICID00036090,2019-12-02,Poor or Insufficient Controls,N/A,United Kingdom (GB),Local Authority
ICID00036091,2019-12-02,Biotoxins (other),N/A,United Kingdom (GB),Other
ICID00036092,2019-12-02,Allergens,Confectionery,United Kingdom (GB),Industry
ICID00036093,2019-12-03,Clandestine Detection,Fruits & Vegetables,Portugal (PT),Home Office / Border Force
ICID00036094,2019-12-02,Labelling Absent / Incomplete / Incorrect,Nuts / Nut Products / Seeds,India (IN),Border Inspection Posts (BIPs)
ICID00036095,2019-12-02,Labelling Absent / Incomplete / Incorrect,Prepared Dishes & Snacks,Turkey (TR),Border Inspection Posts (BIPs)
ICID00036096,2019-12-02,Labelling Absent / Incomplete / Incorrect,Prepared Dishes & Snacks,Turkey (TR),Border Inspection Posts (BIPs)
ICID00036097,2019-12-03,Pesticide Residues,Fruits & Vegetables,Morocco (MA),Port Health Authority (PHA)
ICID00036098,2019-12-03,Clandestine Detection,Fruits & Vegetables,France (FR),Local Authority
ICID00036099,2019-12-03,Clandestine Detection,Fruits & Vegetables,Spain (ES),Local Authority
ICID00036100,2019-12-03,Labelling Absent / Incomplete / Incorrect,Non-Alcoholic Beverages,United Kingdom (GB),Administrative Assistance & Cooperation System (AAC)
ICID00036101,2019-12-03,Pathogenic Micro-Organisms,Feed Materials,United Kingdom (GB),Industry
ICID00036103,2019-12-03,Allergens,Confectionery,Netherlands (NL),Local Authority
ICID00036104,2019-12-03,Allergens,Cereals & Bakery Products,United Kingdom (GB),Local Authority
ICID00036105,2019-12-03,Allergens,Prepared Dishes & Snacks ,United Kingdom (GB),Industry
ICID00036106,2019-12-03,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),Industry
ICID00036107,2019-12-04,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF
ICID00036108,2019-12-04,Mycotoxins,Nuts / Nut Products / Seeds,Argentina (AR),Port Health Authority (PHA)
ICID00036109,2019-12-04,Pesticide Residues,Fruits & Vegetables,Uganda (UG),Port Health Authority (PHA)
ICID00036110,2019-12-02,Allergens,Confectionery,United States (US),Local Authority
ICID00036111,2019-12-04,Allergens,Cereals & Bakery Products,Netherlands (NL),RASFF
ICID00036112,2019-12-04,Labelling Absent / Incomplete / Incorrect,Alcoholic Beverages,United Kingdom (GB),Administrative Assistance & Cooperation System (AAC)
ICID00036113,2019-12-04,Labelling Absent / Incomplete / Incorrect,Meat & Meat Products (other than poultry),United Kingdom (GB),Local Authority
ICID00036114,2019-12-02,Labelling Absent / Incomplete / Incorrect,Food Additives & Flavourings,United Kingdom (GB),European Commission (EC)
ICID00036115,2019-12-05,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00036116,2019-12-05,Clandestine Detection,Confectionery,Poland (PL),Home Office / Border Force
ICID00036117,2019-12-04,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal & Plant Health Agency (APHA)
ICID00036118,2019-12-05,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF
ICID00036119,2019-12-05,Pathogenic Micro-Organisms,Bivalve Molluscs & Products Thereof,United Kingdom (GB),Local Authority
ICID00036120,2019-12-05,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),European Commission (EC)
ICID00036121,2019-12-05,Migration,Food Contact Materials,United Kingdom (GB),Other
ICID00036122,2019-12-05,Chemical Contamination (other),Fruits & Vegetables,United Kingdom (GB),Other
ICID00036123,2019-12-05,Allergens,Prepared Dishes & Snacks ,Sweden (SE),Industry
ICID00036124,2019-12-05,Clandestine Detection,Fruits & Vegetables,Spain (ES),Home Office / Border Force
ICID00036125,2019-12-05,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF
ICID00036126,2019-12-06,Composition,Dietetic Foods / Food Supplements / Fortified Foods,Canada (CA),RASFF
ICID00036127,2019-12-06,Allergens,Prepared Dishes & Snacks,Lithuania (LT),Industry
ICID00036128,2019-12-06,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,France (FR),Local Authority
ICID00036129,2019-12-06,Biocontaminants,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal & Plant Health Agency (APHA)
ICID00036130,2019-12-06,Allergens,Confectionery,United Kingdom (GB),Industry
ICID00036131,2019-12-06,Pathogenic Micro-Organisms,Milk & Milk Products,France (FR),Local Authority
ICID00036132,2019-12-06,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),Italy (IT),Local Authority
ICID00036134,2019-12-08,Clandestine Detection,Other Food Product / Mixed,Spain (ES),Home Office / Border Force
ICID00036135,2019-12-09,Food Additives & Flavourings,Prepared Dishes & Snacks,United Kingdom (GB),Administrative Assistance & Cooperation System (AAC)
ICID00036136,2019-12-09,Pesticide Residues,Fruits & Vegetables,India (IN),Port Health Authority (PHA)
ICID00036137,2019-12-09,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),United Kingdom (GB),Local Authority
ICID00036138,2019-12-09,Mycotoxins,Nuts / Nut Products / Seeds,United States (US),Port Health Authority (PHA)
ICID00036140,2019-12-09,Adulteration / Fraud,Meat & Meat Products (other than poultry),Ghana (GH),Port Health Authority (PHA)
ICID00036141,2019-12-09,Adulteration / Fraud,Meat & Meat Products (other than poultry),Ghana (GH),Port Health Authority (PHA)
ICID00036143,2019-12-09,Novel Food,Cereals & Bakery Products,China (CX),Port Health Authority (PHA)
ICID00036144,2019-12-09,Migration,Food Contact Materials,China (CX),Port Health Authority (PHA)
ICID00036145,2019-12-09,Labelling Absent / Incomplete / Incorrect,Other Food Product / Mixed,France (FR),Local Authority
ICID00036146,2019-12-10,CHEMET,N/A,United Kingdom (GB),Local Authority
ICID00036148,2019-12-10,Non-Pathogenic Micro-Organisims,Meat & Meat Products (other than poultry),Spain (ES),Industry
ICID00036149,2019-12-10,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Italy (IT),Industry
ICID00036150,2019-12-10,Allergens,Prepared Dishes & Snacks,United Kingdom (GB),Food Standards Scotland (FSS)
ICID00036151,2019-12-10,Mycotoxins,Nuts / Nut Products / Seeds,United States (US),Border Inspection Posts (BIPs)
ICID00036152,2019-12-10,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal & Plant Health Agency (APHA)
ICID00036153,2019-12-04,Non-Pathogenic Micro-Organisims,Pet Food,United Kingdom (GB),Local Authority
ICID00036154,2019-12-10,Food Additives & Flavourings,Non-Alcoholic Beverages,Nigeria (NG),European Commission (EC)
ICID00036155,2019-12-10,Non-Pathogenic Micro-Organisims,Pet Food,United Kingdom (GB),RASFF
ICID00036156,2019-12-11,Composition,Dietetic Foods / Food Supplements / Fortified Foods,Hungary (HU),Local Authority
ICID00036157,2019-12-11,Allergens,Dietetic Foods / Food Supplements / Fortified Foods,Germany (DE),Industry
ICID00036158,2019-12-11,Clandestine Detection,Cereals & Bakery Products,Italy (IT),Home Office / Border Force
ICID00036159,2019-12-11,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,United Kingdom (GB),Animal & Plant Health Agency (APHA)
ICID00036160,2019-12-10,Pathogenic Micro-Organisms,Prepared Dishes & Snacks,United Kingdom (GB),Public Health England (PHE)
